,date,state,positive,negative,positiveIncrease,negativeIncrease,death,deathIncrease,totalTestResultsIncrease,totalTestResults,recovered,Percentage,Active Cases
9274,2020-03-18,NJ,427.0,190.0,160,27,7.0,3,187,617.0,0.0,85.56%,420.0
9314,2020-03-17,KS,15.0,382.0,4,216,1.0,0,220,397.0,0.0,1.82%,14.0
9330,2020-03-17,NJ,267.0,163.0,89,43,4.0,2,132,430.0,0.0,67.42%,263.0
9370,2020-03-16,KS,11.0,166.0,3,31,1.0,0,34,177.0,0.0,8.82%,10.0
9386,2020-03-16,NJ,178.0,120.0,80,0,2.0,0,80,298.0,0.0,100.00%,176.0
9424,2020-03-15,KS,8.0,135.0,2,42,1.0,0,44,143.0,0.0,4.55%,7.0
9439,2020-03-15,NJ,98.0,120.0,48,23,2.0,1,71,218.0,0.0,67.61%,96.0
9475,2020-03-14,KS,6.0,93.0,0,0,1.0,1,0,99.0,0.0,0.00%,5.0
9490,2020-03-14,NJ,50.0,97.0,0,0,1.0,0,0,147.0,0.0,0.00%,49.0
9526,2020-03-13,KS,6.0,93.0,2,52,0.0,0,54,99.0,0.0,3.70%,6.0
9541,2020-03-13,NJ,50.0,97.0,20,23,1.0,0,43,147.0,0.0,46.51%,49.0
